"ΑΑ","netlib","n","m","n.b","spA","spB","spC","Mac50","Mac90","Lambda50","Lambda90","RAD50","RAD90","GRAD50","GRAD90","minML50","minML90","mML50","mML90","gmML50","gmML90"
"16","d2q06c",5831,2171,0.627360663288807,0.00261321874278431,0.402579456471672,0.55856628365632,0.494933210502073,0.494933210502073,0.291340396130815,0.910594196222939,0.554813450023031,0.894011976047904,0.493665054134992,0.863810181985718,0.300903901046622,0.511179828734538,0.400657199859171,0.717673981927004,0.387026847538497,0.685312407099909
"17","d6cube",6184,415,0.973493975903614,0.014691625492916,0.0144578313253012,1,0.501809408926417,0.501809408926417,0.455421686746988,0.455421686746988,0.510240963855422,0.907228915662651,0.492168674698795,0.904819277108434,0.908653846153846,0.908653846153846,0.637239165329053,0.637239165329053,0.674849380785808,0.674849380785808
"18","degen2",757,444,0.936936936936937,0.0124989586680472,0.547297297297297,0.6221928665786,0.47972972972973,0.47972972972973,0.576576576576577,0.906531531531532,0.48536036036036,0.880630630630631,0.483108108108108,0.868243243243243,0.707641196013289,0.707641196013289,0.6446735395189,0.851546391752577,0.651728958866408,0.821253491613611
"19","dfl001",12230,6071,0.993081864602207,0.000479903049671271,0.2739252182507,0.510302534750613,0.499628988374969,0.499628988374969,0.285537802668424,0.900214132762313,0.501400098830506,0.900049415252841,0.421182671718004,0.911876132432878,0.356027931813514,0.622304374614911,0.435679334156492,0.777811313851923,0.421760447891001,0.749487262881456
"20","e226",472,223,0.704035874439462,0.0262977882496011,0.443946188340807,0.400423728813559,0.463800904977376,0.933484162895928,0.269058295964126,0.860089686098655,0.448430493273543,0.876233183856502,0.461883408071749,0.867264573991031,0.298507462686567,0.509950248756219,0.396341463414634,0.787560975609756,0.382618871201972,0.733324657253838
"21","fffff800",1028,524,0.57824427480916,0.0118829269017138,0.389312977099237,0.00778210116731515,0.45324427480916,0.45324427480916,0.307177033492823,0.864688995215311,1,1,0.496637848222863,0.496637848222863,0.498447204968944,0.737577639751553,0.484774665042631,0.843727161997564,0.487069703587232,0.820264757410785
"22","fit1p",1677,627,0.601275917065391,0.00938487596994331,1,0.611806797853309,0.48006379585327,0.85725677830941,0.532695374800638,0.906539074960128,1,1,0.389483933787731,1,0.272425249169435,0.658471760797342,0.501019160211985,0.763391765185487,0.424257578622356,0.75675744269811
"23","fit2p",13525,3000,0.960666666666667,0.0012392852741836,0.5,0.77634011090573,0.501337345369442,0.877131394182548,0.248833333333333,0.9025,0.304030787927891,1,1,1,0.253480475382003,0.725466893039049,0.507489844278944,0.784055517941774,0.427552975828047,0.777180046815774
"24","ganges",1706,1309,0.834988540870894,0.00310636883976656,0.375095492742552,0.0638921453692849,0.504583651642475,0.504583651642475,0.296409472880061,0.86768525592055,0.366863905325444,0.911242603550296,0.366863905325444,0.911242603550296,0.587433762301287,1,0.532368621477532,0.912058898197512,0.544435003356747,0.931496231344679
"25","gfrd_pnc",1160,616,0.88961038961039,0.00342168607254811,0.11038961038961,0.939655172413793,0.500406173842405,0.500406173842405,0.260551948051948,0.911201298701299,0.446428571428571,0.910714285714286,0.545972335231896,0.915378356387307,0.521103896103896,1,0.507034632034632,0.940800865800866,0.510442894016508,0.954568565853851
